import time: self [us] | cumulative | imported package
import time:       574 |        574 |         pandas.core.array_algos
import time:      2417 |       2417 |             numpy.ma.core
import time:      1101 |       1101 |             numpy.ma.extras
import time:       568 |       4085 |           numpy.ma
import time:       613 |        613 |           pandas.core.common
import time:       529 |       5226 |         pandas.core.construction
import time:       602 |       6401 |       pandas.core.array_algos.take
import time:       521 |        521 |         pandas.core.indexers.utils
import time:       568 |       1089 |       pandas.core.indexers
import time:       778 |      11736 |     pandas.core.algorithms
import time:     22713 |      22713 |             pyarrow._compute
import time:       862 |        862 |             pyarrow._compute_docstrings
import time:       397 |        397 |             pyarrow.vendored
import time:       471 |        471 |                 pkgutil
import time:       124 |        124 |                   urllib
import time:       900 |        900 |                   ipaddress
import time:       677 |       1700 |                 urllib.parse
import time:       646 |        646 |                   _pyrepl
import time:       479 |       1125 |                 _pyrepl.pager
import time:      1552 |       4845 |               pydoc
import time:      1260 |       6105 |             pyarrow.vendored.docscrape
import time:     13714 |      43789 |           pyarrow.compute
import time:       530 |      44318 |         pandas.core.arrays.arrow.accessors
import time:      2731 |       2731 |           unicodedata
import time:       588 |        588 |           pandas.util._validators
import time:       630 |        630 |           pandas.core.missing
import time:      8496 |       8496 |               pandas._libs.ops
import time:       597 |        597 |               pandas.core.roperator
import time:       571 |        571 |               pandas.core.computation
import time:      8109 |       8109 |                   numexpr.interpreter
import time:      1739 |       1739 |                   numexpr.expressions
import time:       540 |        540 |                       numexpr.version
import time:       477 |       1017 |                     numexpr.utils
import time:      1532 |       2549 |                   numexpr.necompiler
import time:      3254 |      15648 |                 pandas.core.computation.check
import time:       639 |      16287 |               pandas.core.computation.expressions
import time:       583 |        583 |               pandas.core.ops.missing
import time:       717 |        717 |               pandas.core.ops.dispatch
import time:       543 |        543 |               pandas.core.ops.invalid
import time:       736 |      28528 |             pandas.core.ops.array_ops
import time:       379 |        379 |             pandas.core.ops.common
import time:       644 |        644 |             pandas.core.ops.docstrings
import time:       520 |        520 |             pandas.core.ops.mask_ops
import time:       657 |      30726 |           pandas.core.ops
import time:       649 |        649 |           pandas.core.arraylike
import time:       618 |        618 |           pandas.core.arrays._arrow_string_mixins
import time:       440 |        440 |           pandas.core.arrays._utils
import time:       726 |        726 |             pandas.compat.numpy.function
import time:       441 |        441 |             pandas.core.array_algos.quantile
import time:       666 |        666 |             pandas.core.sorting
import time:      1040 |       2872 |           pandas.core.arrays.base
import time:       512 |        512 |                 bottleneck.benchmark
import time:       450 |        450 |                   timeit
import time:       373 |        822 |                 bottleneck.benchmark.autotimeit
import time:       667 |       2001 |               bottleneck.benchmark.bench
import time:       458 |        458 |               bottleneck.benchmark.bench_detailed
import time:       519 |        519 |                 bottleneck.tests
import time:       435 |        954 |               bottleneck.tests.util
import time:       599 |        599 |                 bottleneck.slow.reduce
import time:       217 |        217 |                 bottleneck.slow.nonreduce
import time:       223 |        223 |                 bottleneck.slow.nonreduce_axis
import time:       423 |        423 |                 bottleneck.slow.move
import time:       367 |       1828 |               bottleneck.slow
import time:       206 |        206 |               bottleneck._pytesttester
import time:      8228 |       8228 |               bottleneck.move
import time:      6327 |       6327 |               bottleneck.nonreduce
import time:      6232 |       6232 |               bottleneck.nonreduce_axis
import time:      7342 |       7342 |               bottleneck.reduce
import time:      3167 |       3167 |                       _json
import time:       312 |       3479 |                     json.scanner
import time:       390 |       3868 |                   json.decoder
import time:       345 |        345 |                   json.encoder
import time:       276 |       4488 |                 json
import time:       504 |       4992 |               bottleneck._version
import time:      1798 |      40359 |             pandas.core.nanops
import time:       577 |        577 |             pandas.core.array_algos.masked_accumulations
import time:       517 |        517 |             pandas.core.array_algos.masked_reductions
import time:       620 |        620 |               pandas.core.util
import time:      9057 |       9057 |               pandas._libs.hashing
import time:       664 |      10340 |             pandas.core.util.hashing
import time:      1014 |      52805 |           pandas.core.arrays.masked
import time:      7875 |       7875 |             pandas._libs.arrays
import time:       757 |        757 |               pandas.core.arrays.numeric
import time:       766 |       1522 |             pandas.core.arrays.floating
import time:       771 |        771 |             pandas.core.arrays.integer
import time:       476 |        476 |                 pandas.core.array_algos.transforms
import time:      1014 |       1490 |               pandas.core.arrays._mixins
import time:       564 |        564 |                 pandas.core.strings
import time:       702 |        702 |                 pandas.core.strings.base
import time:      1053 |       2318 |               pandas.core.strings.object_array
import time:       708 |       4515 |             pandas.core.arrays.numpy_
import time:       962 |      15643 |           pandas.core.arrays.string_
import time:       422 |        422 |             pandas.tseries
import time:       814 |       1235 |           pandas.tseries.frequencies
import time:      1582 |     110514 |         pandas.core.arrays.arrow.array
import time:       569 |     155400 |       pandas.core.arrays.arrow
import time:       668 |        668 |       pandas.core.arrays.boolean
import time:      2943 |       2943 |           _csv
import time:       365 |       3308 |         csv
import time:       157 |        157 |           fnmatch
import time:      2583 |       2583 |           zlib
import time:       653 |       3392 |         shutil
import time:      1007 |       1007 |         pandas.core.accessor
import time:       842 |        842 |         pandas.core.base
import time:       672 |        672 |         pandas.io.formats
import time:       442 |        442 |         pandas.io.formats.console
import time:      1006 |      10666 |       pandas.core.arrays.categorical
import time:      9781 |       9781 |         pandas._libs.tslib
import time:       559 |        559 |           pandas.core.array_algos.datetimelike_accumulations
import time:      1751 |       2310 |         pandas.core.arrays.datetimelike
import time:       670 |        670 |         pandas.core.arrays._ranges
import time:       376 |        376 |         pandas.tseries.offsets
import time:       961 |      14096 |       pandas.core.arrays.datetimes
import time:      1153 |       1153 |         pandas.core.arrays.timedeltas
import time:      1655 |       2807 |       pandas.core.arrays.interval
import time:       818 |        818 |       pandas.core.arrays.period
import time:     14561 |      14561 |             pandas._libs.sparse
import time:      1038 |       1038 |             pandas.io.formats.printing
import time:       992 |      16590 |           pandas.core.arrays.sparse.array
import time:       759 |      17349 |         pandas.core.arrays.sparse.accessor
import time:       569 |      17918 |       pandas.core.arrays.sparse
import time:       570 |        570 |         pandas.core.arrays.arrow._arrow_utils
import time:      1137 |       1707 |       pandas.core.arrays.string_arrow
import time:       842 |     204918 |     pandas.core.arrays
import time:       537 |        537 |     pandas.core.flags
import time:       172 |        172 |             backports_abc
import time:     11398 |      11569 |           pandas._libs.internals
import time:       651 |        651 |             pandas.core._numba
import time:       541 |       1192 |           pandas.core._numba.executor
import time:       991 |      13751 |         pandas.core.apply
import time:      8877 |       8877 |               pandas._libs.indexing
import time:       803 |        803 |                 pandas.core.indexes
import time:       141 |        141 |                     backports_abc
import time:     16548 |      16688 |                   pandas._libs.index
import time:      9641 |       9641 |                   pandas._libs.writers
import time:     18938 |      18938 |                   pandas._libs.join
import time:      1107 |       1107 |                   pandas.core.array_algos.putmask
import time:       551 |        551 |                   pandas.core.indexes.frozen
import time:      2416 |       2416 |                   pandas.core.strings.accessor
import time:      3941 |      53279 |                 pandas.core.indexes.base
import time:       616 |        616 |                   pandas.core.indexes.extension
import time:       479 |       1094 |                 pandas.core.indexes.category
import time:       972 |        972 |                     pandas.core.indexes.range
import time:       665 |        665 |                       pandas.core.tools
import time:       655 |       1320 |                     pandas.core.tools.timedeltas
import time:       964 |       3254 |                   pandas.core.indexes.datetimelike
import time:       479 |        479 |                   pandas.core.tools.times
import time:       997 |       4729 |                 pandas.core.indexes.datetimes
import time:      1391 |       1391 |                   pandas.core.indexes.multi
import time:       543 |        543 |                   pandas.core.indexes.timedeltas
import time:      1136 |       3069 |                 pandas.core.indexes.interval
import time:       758 |        758 |                 pandas.core.indexes.period
